Country,Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,NewCases,NewDeaths,NewRecovered,ActiveCases,Serious_Critical
Serbia,22.85,0.8,97.58,1471,9,2355,32231,33
Bangladesh,1.16,1.49,96.54,61,1,842,38356,1283
Hungary,19.28,2.45,92.19,0,0,0,99318,56
Slovakia,31.6,1.13,93.7,1465,23,2815,89420,179
Jordan,16.27,0.83,98.79,0,0,0,6459,276
Georgia,41.49,1.02,98.74,208,2,685,4029,0
Pakistan,0.67,1.99,97.42,154,0,78,9068,320
Ireland,29.1,0.46,89.56,0,0,7849,146196,59
Norway,25.63,0.18,0.0,0,0,0,0,20
Kazakhstan,6.81,1.05,98.84,11,0,70,1504,528
Morocco,3.09,1.38,98.55,0,0,0,762,293
Bulgaria,16.64,3.21,81.24,0,0,0,177462,206
Singapore,18.71,0.11,93.44,0,0,0,71536,22
Croatia,27.16,1.42,97.89,97,18,1399,7626,36
Lebanon,16.14,0.94,97.35,0,0,0,18619,186
Cuba,9.66,0.78,98.89,0,0,0,3659,23
Tunisia,8.61,2.73,0.0,0,0,0,0,42
Lithuania,38.85,0.86,93.82,773,6,2678,54805,56
Nepal,3.26,1.22,98.69,32,0,89,842,100
Slovenia,46.87,0.67,95.59,802,4,1102,36498,39
Belarus,10.23,0.71,96.16,332,5,0,30269,0
Bolivia,7.55,2.43,93.36,49,0,1063,38005,220
Finland,16.22,0.36,5.1,11710,74,0,852084,40
Uruguay,25.45,0.81,98.61,0,0,0,5233,40
Ecuador,4.75,4.12,0.0,0,0,0,0,759
"Costa Rica",16.22,0.99,97.18,0,0,0,15350,57
Guatemala,4.49,2.09,96.89,0,0,0,8470,5
Latvia,43.41,0.7,95.35,353,5,0,31697,24
Azerbaijan,7.69,1.22,98.73,6,0,17,330,0
Panama,17.26,1.07,98.64,0,0,0,2240,10
"Saudi Arabia",2.1,1.2,97.9,104,2,296,6729,92
"New Zealand",14.06,0.05,86.76,10248,13,12524,92789,0
"Sri Lanka",3.07,2.49,96.27,0,0,0,8218,0
Paraguay,8.9,2.89,96.35,0,0,0,4949,8
Kuwait,14.37,0.41,99.33,0,0,0,1673,10
"Dominican Republic",5.24,0.76,99.21,0,0,0,165,20
Estonia,42.1,0.44,87.13,427,1,744,69495,9
Bahrain,30.82,0.26,98.66,0,0,0,5993,4
Venezuela,1.84,1.09,98.59,0,0,0,1641,230
Moldova,12.8,2.23,97.25,0,0,0,2671,56
Egypt,0.48,4.83,86.0,0,0,0,46344,122
Libya,7.13,1.28,97.67,0,0,0,5267,101
Ethiopia,0.39,1.6,95.26,0,0,0,14773,16
Mongolia,13.9,0.46,66.84,81,0,0,153258,192
Cyprus,35.98,0.22,28.27,0,0,0,314647,60
Armenia,14.21,2.04,97.05,7,0,18,3840,0
Honduras,4.14,2.58,31.14,0,0,0,279082,105
Oman,7.28,1.09,98.67,32,1,81,921,14
Qatar,12.89,0.19,99.46,188,0,104,1268,2
Réunion,37.17,0.21,95.72,0,0,0,13717,10
Kenya,0.58,1.75,98.22,0,0,0,121,1
Zambia,1.64,1.25,98.57,34,0,93,577,0
"North Macedonia",14.72,3.01,96.34,0,0,0,1985,0
Botswana,12.55,0.88,99.0,0,0,0,364,1
Albania,9.53,1.28,98.54,0,0,0,516,13
Algeria,0.59,2.59,67.11,0,0,0,80512,6
Nigeria,0.12,1.23,97.71,0,0,0,2714,11
Zimbabwe,1.62,2.21,96.83,0,0,0,2374,12
Uzbekistan,0.69,0.69,99.08,35,0,37,540,23
Montenegro,37.14,1.16,98.59,0,0,0,591,6
Mozambique,0.69,0.98,98.99,0,0,0,68,13
Luxembourg,33.7,0.48,90.55,0,0,0,19473,3
Kyrgyzstan,2.99,1.49,97.65,0,0,5,1729,131
Laos,2.47,0.37,4.15,1038,3,0,176256,0
Iceland,52.69,0.06,41.62,0,0,0,106044,2
Afghanistan,0.44,4.31,90.52,70,0,0,9193,1124
Maldives,31.76,0.17,92.48,0,0,0,13008,25
Uganda,0.34,2.19,61.11,0,0,0,60158,2
"El Salvador",2.47,2.55,89.43,0,0,0,12956,40
Ghana,0.5,0.9,99.07,0,0,0,58,1
Namibia,6.01,2.55,97.1,0,0,0,558,3
Martinique,37.74,0.64,0.07,0,0,0,140402,8
Brunei,30.66,0.16,97.32,400,0,737,3440,1
Cambodia,0.79,2.25,97.36,35,0,133,527,0
Guadeloupe,32.66,0.64,1.72,0,0,0,127612,19
Rwanda,0.96,1.12,35.09,0,0,0,82748,1
Jamaica,4.32,2.25,63.1,0,0,0,44636,0
Cameroon,0.43,1.61,98.25,0,0,0,162,13
Angola,0.29,1.92,97.94,0,0,0,145,0
Senegal,0.49,2.29,97.67,1,0,8,33,0
Malawi,0.43,3.07,94.17,0,0,0,2366,67
Malta,18.51,0.78,89.98,530,3,249,7584,4
Suriname,13.3,1.67,62.33,0,0,0,28524,0
"French Guiana",25.33,0.5,14.23,0,0,0,67427,4
"French Polynesia",25.49,0.89,0.0,0,0,0,0,7
Eswatini,5.91,2.0,97.85,0,0,0,108,11
Fiji,7.1,1.29,97.2,3,0,18,968,0
Madagascar,0.22,2.17,92.6,0,0,0,3349,22
Guyana,7.98,1.94,97.93,0,0,0,84,4
Sudan,0.14,7.92,0.0,0,0,0,0,0
"New Caledonia",20.78,0.52,99.23,33,0,133,156,9
Barbados,20.81,0.63,96.91,0,0,0,1479,0
Mauritania,1.21,1.67,98.31,0,0,0,8,0
Belize,13.96,1.15,98.42,0,0,0,250,6
Syria,0.31,5.64,92.88,0,0,0,823,0
Gabon,2.05,0.64,99.33,0,0,0,17,0
"Papua New Guinea",0.46,1.52,94.55,0,0,0,1658,7
Curaçao,24.61,0.66,98.0,0,0,0,546,3
Seychelles,40.66,0.41,98.44,0,0,0,467,0
Andorra,51.66,0.38,98.15,0,0,0,588,14
Burundi,0.31,0.1,2.01,0,0,0,37708,0
Togo,0.43,0.74,99.05,0,0,0,80,0
Mayotte,12.97,0.51,8.03,0,0,0,33740,0
Mauritius,2.88,2.64,93.5,53,0,368,1418,0
Guinea,0.27,1.21,98.68,0,0,0,43,8
Aruba,31.66,0.62,99.12,0,0,0,87,3
Tanzania,0.05,2.37,0.0,0,0,0,0,7
Bahamas,8.33,2.37,96.72,0,0,0,305,11
Lesotho,1.52,2.12,73.4,0,0,0,8058,0
Bhutan,4.06,0.04,80.96,490,0,775,6066,7
Haiti,0.26,2.73,93.77,0,0,0,1071,0
Mali,0.14,2.39,97.2,0,0,0,126,0
"Isle of Man",33.11,0.3,94.29,0,0,0,1538,0
Benin,0.21,0.6,94.63,0,0,0,1283,5
Somalia,0.16,5.11,49.93,0,0,0,11870,0
Taiwan,0.1,3.47,83.58,275,0,39,3183,0
Timor-Leste,1.68,0.57,99.39,0,0,0,10,0
"Burkina Faso",0.1,1.83,98.01,0,0,0,32,0
"Cayman Islands",30.72,0.12,41.51,0,0,0,12029,1
Nicaragua,0.27,1.22,22.92,0,0,0,13985,0
Tajikistan,0.18,0.71,99.29,0,0,0,0,0
"South Sudan",0.15,0.8,78.22,0,0,0,3626,1
Gibraltar,50.42,0.59,96.35,0,0,0,519,3
Liechtenstein,42.87,0.51,98.6,0,0,0,146,4
"Equatorial Guinea",1.07,1.15,98.68,0,0,0,27,5
Djibouti,1.54,1.21,98.76,0,0,0,5,0
"San Marino",44.58,0.74,97.1,0,0,0,328,4
Grenada,12.36,1.55,98.03,0,0,0,58,4
Bermuda,20.31,1.02,97.09,0,0,0,238,0
Gambia,0.47,3.04,96.69,0,0,0,32,0
Greenland,21.02,0.18,23.06,0,0,0,9189,4
Dominica,16.45,0.53,98.25,0,0,0,145,0
Yemen,0.04,18.15,76.22,0,0,0,664,23
"Solomon Islands",1.6,1.16,84.57,0,0,0,1637,1
Monaco,27.29,0.5,97.78,0,0,0,187,4
"Sint Maarten",22.33,0.88,98.31,0,0,0,79,10
Eritrea,0.27,1.06,98.92,0,0,0,2,0
Niger,0.03,3.5,96.29,0,0,0,19,1
"Caribbean Netherlands",32.17,0.38,95.17,0,0,0,381,0
Guinea-Bissau,0.4,2.09,87.67,0,0,0,835,6
Comoros,0.9,1.98,97.87,0,0,0,12,0
"Sierra Leone",0.09,1.63,0.0,0,0,0,0,0
Liberia,0.14,3.97,77.66,0,0,0,1359,2
Chad,0.04,2.61,66.69,0,0,0,2243,0
"British Virgin Islands",20.13,1.01,0.0,0,0,0,0,1
Vanuatu,1.39,0.05,42.0,324,0,214,2568,11
Anguilla,17.72,0.33,99.11,0,0,0,15,4
Samoa,1.22,0.08,38.1,164,1,172,1514,0
Montserrat,3.5,1.14,98.86,0,0,0,0,0
"Falkland Islands",3.36,0.0,0.0,0,0,0,0,0
"Vatican City",3.6,0.0,96.55,0,0,0,1,0
"Western Sahara",0.0,10.0,80.0,0,0,0,1,0
"Marshall Islands",0.01,0.0,100.0,0,0,0,0,0
China,0.01,2.97,80.56,1405,0,1848,25724,54
